[dhdDelta():15.26.05.0159] - Did not find deltaConfig.txt
[dhdOpenWithReset():15.26.05.1700] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.27.07.3338] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.27.09.5263] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.28.12.3478] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.28.50.7529] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.28.51.9716] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.28.53.0342] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.28.55.1122] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.28.56.1278] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.28.57.1590] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.28.58.2683] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.01.0807] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.02.0962] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.03.1275] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.04.1587] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.06.9712] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.07.9868] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.09.0181] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.10.0493] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.12.8618] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.13.8774] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.14.9085] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
[dhdOpenWithReset():15.29.15.9398] - Found novint_t2.bin at C:\Program Files\Novint\HDAL_SDK_2.1.3\bin\novint_t2.bin
