Ts,Run,Frame,dID,oID,R11,R12,R13,R21,R22,R23,R31,R32,R33,Tx,Ty,Tz
20.38.19.095,6,56217,object_6,2,0.99281,0.119704,-4.86907e-10,-0.119075,0.987595,0.102359,0.0122527,-0.101623,0.994748,-0.0386990681291,-0.180377133191,0.95340535976
20.38.19.095,6,56217,object_7,2,0.99281,0.119704,-4.86907e-10,-0.119075,0.987595,0.102359,0.0122527,-0.101623,0.994748,-0.0386990681291,-0.180377133191,0.95340535976
20.38.30.196,6,56351,object_6,1,0.999388,-0.0348994,-0.00218166,0.0278988,0.83342,-0.551936,0.0210805,0.551537,0.833884,-0.0642421208322,-0.00895298272371,0.68344659172
20.38.42.218,6,56484,object_7,1,0.937764,0.325188,-0.121869,-0.344507,0.915342,-0.20848,0.0437571,0.237489,0.970404,-0.22668043524,0.141235044226,0.715407627635
20.38.55.375,6,56598,object_6,2,0.996157,0.00869333,-0.0871557,-0.040739,0.926864,-0.373181,0.0775373,0.375298,0.923656,-0.368415569421,-0.0558114014566,0.99528080225
20.38.55.375,6,56598,object_7,2,0.996157,0.00869333,-0.0871557,-0.040739,0.926864,-0.373181,0.0775373,0.375298,0.923656,-0.368415569421,-0.0558114014566,0.99528080225
20.39.08.422,6,56711,object_6,2,0.99703,0.0697191,0.0327191,-0.0691762,0.997452,-0.0174431,-0.0338518,0.0151279,0.999312,-0.0339710116386,-0.0967568792403,0.991264333948
20.39.08.422,6,56711,object_7,2,0.99703,0.0697191,0.0327191,-0.0691762,0.997452,-0.0174431,-0.0338518,0.0151279,0.999312,-0.0339710116386,-0.0967568792403,0.991264333948
20.39.18.470,6,56824,object_7,1,0.955244,0.285225,-0.0784591,-0.295752,0.926482,-0.232726,0.0063119,0.245514,0.969372,-0.0213123168796,-0.00563749670982,0.737859763205
20.39.31.260,6,57021,object_6,2,0.998896,0.0436127,0.0174524,-0.0417943,0.994727,-0.0936596,-0.0214451,0.0928268,0.995451,0.0863624922931,0.1638400089,0.697120199911
20.39.31.260,6,57021,object_7,2,0.998896,0.0436127,0.0174524,-0.0417943,0.994727,-0.0936596,-0.0214451,0.0928268,0.995451,0.0863624922931,0.1638400089,0.697120199911
20.39.44.222,6,57154,object_6,2,0.99872,0.0065367,-0.0501572,-0.000383663,0.992565,0.121716,0.0505799,-0.121541,0.991297,-0.0938011095859,-0.0224114097655,0.727718137408
20.39.44.222,6,57154,object_7,2,0.99872,0.0065367,-0.0501572,-0.000383663,0.992565,0.121716,0.0505799,-0.121541,0.991297,-0.0938011095859,-0.0224114097655,0.727718137408
